ï»¿Country Name,Country Code,Series Name,2013 [YR2013]
Cuba,CUB,Urban population growth (annual %),0.071167569
Curacao,CUW,Urban population growth (annual %),1.004835565
Cyprus,CYP,Urban population growth (annual %),0.881831143
Czech Republic,CZE,Urban population growth (annual %),-0.042078036
Denmark,DNK,Urban population growth (annual %),0.625526869
Djibouti,DJI,Urban population growth (annual %),1.622366081
Dominica,DMA,Urban population growth (annual %),0.863564971
Dominican Republic,DOM,Urban population growth (annual %),2.591926268
East Asia & Pacific (all income levels),EAS,Urban population growth (annual %),2.47583824
East Asia & Pacific (developing only),EAP,Urban population growth (annual %),2.830396571
Ecuador,ECU,Urban population growth (annual %),1.905271998
"Egypt, Arab Rep.",EGY,Urban population growth (annual %),1.69316894
El Salvador,SLV,Urban population growth (annual %),1.426136856
Equatorial Guinea,GNQ,Urban population growth (annual %),3.129172383
Eritrea,ERI,Urban population growth (annual %),5.160846754
Estonia,EST,Urban population growth (annual %),-0.524078589
Ethiopia,ETH,Urban population growth (annual %),4.893160235
Euro area,EMU,Urban population growth (annual %),0.60470451
Europe & Central Asia (all income levels),ECS,Urban population growth (annual %),0.67820565
Europe & Central Asia (developing only),ECA,Urban population growth (annual %),1.088034576
European Union,EUU,Urban population growth (annual %),0.564436072
Faeroe Islands,FRO,Urban population growth (annual %),0.42438053
Fiji,FJI,Urban population growth (annual %),1.440199596
Finland,FIN,Urban population growth (annual %),0.619285987
Fragile and conflict affected situations,FCS,Urban population growth (annual %),3.331463076
France,FRA,Urban population growth (annual %),0.731316608
French Polynesia,PYF,Urban population growth (annual %),0.866097489
Gabon,GAB,Urban population growth (annual %),2.705475237
"Gambia, The",GMB,Urban population growth (annual %),4.339180002
Georgia,GEO,Urban population growth (annual %),0.198140972
Germany,DEU,Urban population growth (annual %),0.542993733
Ghana,GHA,Urban population growth (annual %),3.370220912
Greece,GRC,Urban population growth (annual %),-0.145244993
Greenland,GRL,Urban population growth (annual %),-0.070269715
Grenada,GRD,Urban population growth (annual %),0.340272014
Guam,GUM,Urban population growth (annual %),1.498944939
Guatemala,GTM,Urban population growth (annual %),3.41317347
Guinea,GIN,Urban population growth (annual %),3.815609383
Guinea-Bissau,GNB,Urban population growth (annual %),4.155674134
Guyana,GUY,Urban population growth (annual %),0.754116363
Haiti,HTI,Urban population growth (annual %),3.793338732
Heavily indebted poor countries (HIPC),HPC,Urban population growth (annual %),4.061623521
High income,HIC,Urban population growth (annual %),0.832115243
High income: nonOECD,NOC,Urban population growth (annual %),1.005223323
High income: OECD,OEC,Urban population growth (annual %),0.783426794
Honduras,HND,Urban population growth (annual %),3.159135878
"Hong Kong SAR, China",HKG,Urban population growth (annual %),0.458789964
Hungary,HUN,Urban population growth (annual %),0.401109317
Iceland,ISL,Urban population growth (annual %),1.054363521
India,IND,Urban population growth (annual %),2.38286842
Indonesia,IDN,Urban population growth (annual %),2.681434387
"Iran, Islamic Rep.",IRN,Urban population growth (annual %),2.094152013
Iraq,IRQ,Urban population growth (annual %),2.669225052
Ireland,IRL,Urban population growth (annual %),0.697558806
Isle of Man,IMY,Urban population growth (annual %),0.787732565
Israel,ISR,Urban population growth (annual %),1.934538907
Italy,ITA,Urban population growth (annual %),1.342864168
Jamaica,JAM,Urban population growth (annual %),0.640931051
Japan,JPN,Urban population growth (annual %),0.463987802
Jordan,JOR,Urban population growth (annual %),2.512706747
Kazakhstan,KAZ,Urban population growth (annual %),1.260168516
Kenya,KEN,Urban population growth (annual %),4.354559643
Kiribati,KIR,Urban population growth (annual %),1.785601903
"Korea, Dem. Rep.",PRK,Urban population growth (annual %),0.752632383
"Korea, Rep.",KOR,Urban population growth (annual %),0.560889783
Kosovo,KSV,Urban population growth (annual %),..
Kuwait,KWT,Urban population growth (annual %),3.584389459
Kyrgyz Republic,KGZ,Urban population growth (annual %),2.210470455
Lao PDR,LAO,Urban population growth (annual %),4.912689555
Latin America & Caribbean (all income levels),LCN,Urban population growth (annual %),1.460808727
Latin America & Caribbean (developing only),LAC,Urban population growth (annual %),1.541401095
Latvia,LVA,Urban population growth (annual %),-1.177674364
Least developed countries: UN classification,LDC,Urban population growth (annual %),4.056551366
Lebanon,LBN,Urban population growth (annual %),1.095386636
Lesotho,LSO,Urban population growth (annual %),3.075342432
Liberia,LBR,Urban population growth (annual %),3.222986608
Libya,LBY,Urban population growth (annual %),0.992213867
Liechtenstein,LIE,Urban population growth (annual %),0.473620285
Lithuania,LTU,Urban population growth (annual %),-1.087106721
Low & middle income,LMY,Urban population growth (annual %),2.610122293
Low income,LIC,Urban population growth (annual %),4.062054267
Lower middle income,LMC,Urban population growth (annual %),2.679694329
Luxembourg,LUX,Urban population growth (annual %),2.670351167
"Macao SAR, China",MAC,Urban population growth (annual %),1.708082604
"Macedonia, FYR",MKD,Urban population growth (annual %),0.11383363
Madagascar,MDG,Urban population growth (annual %),4.688551681
Malawi,MWI,Urban population growth (annual %),3.746889222
Malaysia,MYS,Urban population growth (annual %),2.658018079
Maldives,MDV,Urban population growth (annual %),4.522797264
Mali,MLI,Urban population growth (annual %),5.036833024
Malta,MLT,Urban population growth (annual %),1.085830362
Marshall Islands,MHL,Urban population growth (annual %),0.522690665
Mauritania,MRT,Urban population growth (annual %),3.529900023
Mauritius,MUS,Urban population growth (annual %),-0.241165093
Mexico,MEX,Urban population growth (annual %),1.582827549
"Micronesia, Fed. Sts.",FSM,Urban population growth (annual %),0.259684197
Middle East & North Africa (all income levels),MEA,Urban population growth (annual %),2.381554736
Middle East & North Africa (developing only),MNA,Urban population growth (annual %),2.296198072
Middle income,MIC,Urban population growth (annual %),2.509908939
Moldova,MDA,Urban population growth (annual %),0.022293598
Monaco,MCO,Urban population growth (annual %),0.668348861
Mongolia,MNG,Urban population growth (annual %),2.790120883
Montenegro,MNE,Urban population growth (annual %),0.390283958
Morocco,MAR,Urban population growth (annual %),2.3397019
Mozambique,MOZ,Urban population growth (annual %),3.269224315
Myanmar,MMR,Urban population growth (annual %),2.514056879
Namibia,NAM,Urban population growth (annual %),4.218645725
Nepal,NPL,Urban population growth (annual %),3.197676085
Netherlands,NLD,Urban population growth (annual %),1.077518405
New Caledonia,NCL,Urban population growth (annual %),2.392053346
New Zealand,NZL,Urban population growth (annual %),0.795034892
Nicaragua,NIC,Urban population growth (annual %),1.996200394
Niger,NER,Urban population growth (annual %),5.147091108
Nigeria,NGA,Urban population growth (annual %),4.676130901
North America,NAC,Urban population growth (annual %),1.010721256
Northern Mariana Islands,MNP,Urban population growth (annual %),0.975637877
Norway,NOR,Urban population growth (annual %),1.552500418
Not classified,INX,Urban population growth (annual %),..
OECD members,OED,Urban population growth (annual %),0.926420445
Oman,OMN,Urban population growth (annual %),9.822424221
Other small states,OSS,Urban population growth (annual %),2.826010575
Pacific island small states,PSS,Urban population growth (annual %),1.856449249
Pakistan,PAK,Urban population growth (annual %),2.798604517
Palau,PLW,Urban population growth (annual %),1.652094218
Panama,PAN,Urban population growth (annual %),2.064079786
Papua New Guinea,PNG,Urban population growth (annual %),2.090901969
Paraguay,PRY,Urban population growth (annual %),2.100288821
Peru,PER,Urban population growth (annual %),1.71944506
Philippines,PHL,Urban population growth (annual %),1.333431715
Poland,POL,Urban population growth (annual %),-0.177418776
Portugal,PRT,Urban population growth (annual %),0.385964081
Puerto Rico,PRI,Urban population growth (annual %),-1.332388342
Qatar,QAT,Urban population growth (annual %),5.718626103
Romania,ROM,Urban population growth (annual %),-0.105460475
Russian Federation,RUS,Urban population growth (annual %),0.300977229
Rwanda,RWA,Urban population growth (annual %),6.439909743
Samoa,WSM,Urban population growth (annual %),-0.23750416
San Marino,SMR,Urban population growth (annual %),0.660828946
Sao Tome and Principe,STP,Urban population growth (annual %),3.570776263
Saudi Arabia,SAU,Urban population growth (annual %),2.147458651
Senegal,SEN,Urban population growth (annual %),3.618054436
Serbia,SRB,Urban population growth (annual %),-0.36733605
Seychelles,SYC,Urban population growth (annual %),2.387485072
Sierra Leone,SLE,Urban population growth (annual %),2.751215256
Singapore,SGP,Urban population growth (annual %),1.62070839
Sint Maarten (Dutch part),SXM,Urban population growth (annual %),5.523039526
Slovak Republic,SVK,Urban population growth (annual %),-0.295837466
Slovenia,SVN,Urban population growth (annual %),-0.048958129
Small states,SST,Urban population growth (annual %),2.301904837
Solomon Islands,SLB,Urban population growth (annual %),4.25057296
Somalia,SOM,Urban population growth (annual %),4.100291528
South Africa,ZAF,Urban population growth (annual %),2.358794354
South Asia,SAS,Urban population growth (annual %),2.603538414
South Sudan,SSD,Urban population growth (annual %),5.183445992
Spain,ESP,Urban population growth (annual %),-0.040384932
Sri Lanka,LKA,Urban population growth (annual %),0.776001868
St. Kitts and Nevis,KNA,Urban population growth (annual %),1.281098287
St. Lucia,LCA,Urban population growth (annual %),0.820691895
St. Martin (French part),MAF,Urban population growth (annual %),..
St. Vincent and the Grenadines,VCT,Urban population growth (annual %),0.710515257
Sub-Saharan Africa (all income levels),SSF,Urban population growth (annual %),4.135567328
Sub-Saharan Africa (developing only),SSA,Urban population growth (annual %),4.136655069
Sudan,SDN,Urban population growth (annual %),2.48056034
Suriname,SUR,Urban population growth (annual %),0.779079239
Swaziland,SWZ,Urban population growth (annual %),1.320716924
Sweden,SWE,Urban population growth (annual %),1.024085617
Switzerland,CHE,Urban population growth (annual %),1.214963152
Syrian Arab Republic,SYR,Urban population growth (annual %),2.671810194
"Taiwan, China",TWN,Urban population growth (annual %),..
Tajikistan,TJK,Urban population growth (annual %),2.651729106
Tanzania,TZA,Urban population growth (annual %),5.385717591
Thailand,THA,Urban population growth (annual %),3.002499401
Timor-Leste,TMP,Urban population growth (annual %),4.767557743
Togo,TGO,Urban population growth (annual %),3.84106066
Tonga,TON,Urban population growth (annual %),0.626606461
Trinidad and Tobago,TTO,Urban population growth (annual %),-1.200773882
Tunisia,TUN,Urban population growth (annual %),1.280526118
Turkey,TUR,Urban population growth (annual %),1.999724891
Turkmenistan,TKM,Urban population growth (annual %),1.954414323
Turks and Caicos Islands,TCA,Urban population growth (annual %),2.477683292
Tuvalu,TUV,Urban population growth (annual %),1.909534683
Uganda,UGA,Urban population growth (annual %),5.44413135
Ukraine,UKR,Urban population growth (annual %),0.064319044
United Arab Emirates,ARE,Urban population growth (annual %),1.864581018
United Kingdom,GBR,Urban population growth (annual %),0.950859735
United States,USA,Urban population growth (annual %),0.96470557
Upper middle income,UMC,Urban population growth (annual %),2.382820583
Uruguay,URY,Urban population growth (annual %),0.53689308
Uzbekistan,UZB,Urban population growth (annual %),1.65858929
Vanuatu,VUT,Urban population growth (annual %),3.415562521
"Venezuela, RB",VEN,Urban population growth (annual %),1.540876197
Vietnam,VNM,Urban population growth (annual %),3.052769862
Virgin Islands (U.S.),VIR,Urban population growth (annual %),-0.3569105
West Bank and Gaza,WBG,Urban population growth (annual %),3.283185924
World,WLD,Urban population growth (annual %),2.084935579
"Yemen, Rep.",YEM,Urban population growth (annual %),4.037008129
Zambia,ZMB,Urban population growth (annual %),4.345617457
Zimbabwe,ZWE,Urban population growth (annual %),2.50233619
Afghanistan,AFG,"Total debt service (% of exports of goods, services and primary income)",0.599299317
Albania,ALB,"Total debt service (% of exports of goods, services and primary income)",10.2433498
Algeria,DZA,"Total debt service (% of exports of goods, services and primary income)",0.741475973
American Samoa,ASM,"Total debt service (% of exports of goods, services and primary income)",..
Andorra,ADO,"Total debt service (% of exports of goods, services and primary income)",..
Angola,AGO,"Total debt service (% of exports of goods, services and primary income)",6.922351903
Antigua and Barbuda,ATG,"Total debt service (% of exports of goods, services and primary income)",..
Arab World,ARB,"Total debt service (% of exports of goods, services and primary income)",..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",13.65661554
Armenia,ARM,"Total debt service (% of exports of goods, services and primary income)",50.76558935
Aruba,ABW,"Total debt service (% of exports of goods, services and primary income)",..
Australia,AUS,"Total debt service (% of exports of goods, services and primary income)",..
Austria,AUT,"Total debt service (% of exports of goods, services and primary income)",..
Azerbaijan,AZE,"Total debt service (% of exports of goods, services and primary income)",6.762847029
"Bahamas, The",BHS,"Total debt service (% of exports of goods, services and primary income)",..
Bahrain,BHR,"Total debt service (% of exports of goods, services and primary income)",..
Bangladesh,BGD,"Total debt service (% of exports of goods, services and primary income)",5.183730001
Barbados,BRB,"Total debt service (% of exports of goods, services and primary income)",..
Belarus,BLR,"Total debt service (% of exports of goods, services and primary income)",10.31752283
Belgium,BEL,"Total debt service (% of exports of goods, services and primary income)",..
Belize,BLZ,"Total debt service (% of exports of goods, services and primary income)",12.74924851
Benin,BEN,"Total debt service (% of exports of goods, services and primary income)",..
Bermuda,BMU,"Total debt service (% of exports of goods, services and primary income)",..
Bhutan,BTN,"Total debt service (% of exports of goods, services and primary income)",10.96729438
Bolivia,BOL,"Total debt service (% of exports of goods, services and primary income)",4.306585791
Bosnia and Herzegovina,BIH,"Total debt service (% of exports of goods, services and primary income)",17.80012211
Botswana,BWA,"Total debt service (% of exports of goods, services and primary income)",2.226846824
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",28.60890337
Brunei Darussalam,BRN,"Total debt service (% of exports of goods, services and primary income)",..
Bulgaria,BGR,"Total debt service (% of exports of goods, services and primary income)",13.03854167
Burkina Faso,BFA,"Total debt service (% of exports of goods, services and primary income)",..
Burundi,BDI,"Total debt service (% of exports of goods, services and primary income)",14.08954906
Cabo Verde,CPV,"Total debt service (% of exports of goods, services and primary income)",4.581030093
Cambodia,KHM,"Total debt service (% of exports of goods, services and primary income)",1.532721109
Cameroon,CMR,"Total debt service (% of exports of goods, services and primary income)",2.635602652
Canada,CAN,"Total debt service (% of exports of goods, services and primary income)",..
Caribbean small states,CSS,"Total debt service (% of exports of goods, services and primary income)",..
Cayman Islands,CYM,"Total debt service (% of exports of goods, services and primary income)",..
Central African Republic,CAF,"Total debt service (% of exports of goods, services and primary income)",..
Central Europe and the Baltics,CEB,"Total debt service (% of exports of goods, services and primary income)",..
Chad,TCD,"Total debt service (% of exports of goods, services and primary income)",..
Channel Islands,CHI,"Total debt service (% of exports of goods, services and primary income)",..
Chile,CHL,"Total debt service (% of exports of goods, services and primary income)",..
China,CHN,"Total debt service (% of exports of goods, services and primary income)",1.517897248
Colombia,COL,"Total debt service (% of exports of goods, services and primary income)",14.14811516
Comoros,COM,"Total debt service (% of exports of goods, services and primary income)",..
"Congo, Dem. Rep.",ZAR,"Total debt service (% of exports of goods, services and primary income)",3.026210401
"Congo, Rep.",COG,"Total debt service (% of exports of goods, services and primary income)",..
Costa Rica,CRI,"Total debt service (% of exports of goods, services and primary income)",22.25584353
Cote d'Ivoire,CIV,"Total debt service (% of exports of goods, services and primary income)",..
Croatia,HRV,"Total debt service (% of exports of goods, services and primary income)",..
Cuba,CUB,"Total debt service (% of exports of goods, services and primary income)",..
Curacao,CUW,"Total debt service (% of exports of goods, services and primary income)",..
Cyprus,CYP,"Total debt service (% of exports of goods, services and primary income)",..
Czech Republic,CZE,"Total debt service (% of exports of goods, services and primary income)",..
Denmark,DNK,"Total debt service (% of exports of goods, services and primary income)",..
Djibouti,DJI,"Total debt service (% of exports of goods, services and primary income)",8.243243353
Dominica,DMA,"Total debt service (% of exports of goods, services and primary income)",10.74976786
Dominican Republic,DOM,"Total debt service (% of exports of goods, services and primary income)",16.83838845
East Asia & Pacific (all income levels),EAS,"Total debt service (% of exports of goods, services and primary income)",..
East Asia & Pacific (developing only),EAP,"Total debt service (% of exports of goods, services and primary income)",3.343778505
Ecuador,ECU,"Total debt service (% of exports of goods, services and primary income)",11.23453962
"Egypt, Arab Rep.",EGY,"Total debt service (% of exports of goods, services and primary income)",..
El Salvador,SLV,"Total debt service (% of exports of goods, services and primary income)",17.14586703
Equatorial Guinea,GNQ,"Total debt service (% of exports of goods, services and primary income)",..
Eritrea,ERI,"Total debt service (% of exports of goods, services and primary income)",..
Estonia,EST,"Total debt service (% of exports of goods, services and primary income)",..
Ethiopia,ETH,"Total debt service (% of exports of goods, services and primary income)",..
Euro area,EMU,"Total debt service (% of exports of goods, services and primary income)",..
Europe & Central Asia (all income levels),ECS,"Total debt service (% of exports of goods, services and primary income)",..
Europe & Central Asia (developing only),ECA,"Total debt service (% of exports of goods, services and primary income)",39.52267378
European Union,EUU,"Total debt service (% of exports of goods, services and primary income)",..
Faeroe Islands,FRO,"Total debt service (% of exports of goods, services and primary income)",..
Fiji,FJI,"Total debt service (% of exports of goods, services and primary income)",1.884213515
Finland,FIN,"Total debt service (% of exports of goods, services and primary income)",..
Fragile and conflict affected situations,FCS,"Total debt service (% of exports of goods, services and primary income)",..
France,FRA,"Total debt service (% of exports of goods, services and primary income)",..
French Polynesia,PYF,"Total debt service (% of exports of goods, services and primary income)",..
Gabon,GAB,"Total debt service (% of exports of goods, services and primary income)",..
"Gambia, The",GMB,"Total debt service (% of exports of goods, services and primary income)",..
Georgia,GEO,"Total debt service (% of exports of goods, services and primary income)",21.98013309
Germany,DEU,"Total debt service (% of exports of goods, services and primary income)",..
Ghana,GHA,"Total debt service (% of exports of goods, services and primary income)",5.64692791
Greece,GRC,"Total debt service (% of exports of goods, services and primary income)",..
Greenland,GRL,"Total debt service (% of exports of goods, services and primary income)",..
Grenada,GRD,"Total debt service (% of exports of goods, services and primary income)",16.47492748
Guam,GUM,"Total debt service (% of exports of goods, services and primary income)",..
Guatemala,GTM,"Total debt service (% of exports of goods, services and primary income)",9.549148648
Guinea,GIN,"Total debt service (% of exports of goods, services and primary income)",3.027861665
Guinea-Bissau,GNB,"Total debt service (% of exports of goods, services and primary income)",..
Guyana,GUY,"Total debt service (% of exports of goods, services and primary income)",4.894014888
Haiti,HTI,"Total debt service (% of exports of goods, services and primary income)",0.562576518
Heavily indebted poor countries (HIPC),HPC,"Total debt service (% of exports of goods, services and primary income)",..
High income,HIC,"Total debt service (% of exports of goods, services and primary income)",..
High income: nonOECD,NOC,"Total debt service (% of exports of goods, services and primary income)",..
High income: OECD,OEC,"Total debt service (% of exports of goods, services and primary income)",..
Honduras,HND,"Total debt service (% of exports of goods, services and primary income)",14.37219855
"Hong Kong SAR, China",HKG,"Total debt service (% of exports of goods, services and primary income)",..
Hungary,HUN,"Total debt service (% of exports of goods, services and primary income)",95.45903933
Iceland,ISL,"Total debt service (% of exports of goods, services and primary income)",..
India,IND,"Total debt service (% of exports of goods, services and primary income)",8.585855518
Indonesia,IDN,"Total debt service (% of exports of goods, services and primary income)",19.39745047
"Iran, Islamic Rep.",IRN,"Total debt service (% of exports of goods, services and primary income)",0.378085438
Iraq,IRQ,"Total debt service (% of exports of goods, services and primary income)",..
Ireland,IRL,"Total debt service (% of exports of goods, services and primary income)",..
Isle of Man,IMY,"Total debt service (% of exports of goods, services and primary income)",..
Israel,ISR,"Total debt service (% of exports of goods, services and primary income)",..
Italy,ITA,"Total debt service (% of exports of goods, services and primary income)",..
Jamaica,JAM,"Total debt service (% of exports of goods, services and primary income)",25.93933097
Japan,JPN,"Total debt service (% of exports of goods, services and primary income)",..
Jordan,JOR,"Total debt service (% of exports of goods, services and primary income)",6.661508646
Kazakhstan,KAZ,"Total debt service (% of exports of goods, services and primary income)",33.9605221
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",5.684423124
Kiribati,KIR,"Total debt service (% of exports of goods, services and primary income)",..
"Korea, Dem. Rep.",PRK,"Total debt service (% of exports of goods, services and primary income)",..
"Korea, Rep.",KOR,"Total debt service (% of exports of goods, services and primary income)",..
Kosovo,KSV,"Total debt service (% of exports of goods, services and primary income)",3.684173872
Kuwait,KWT,"Total debt service (% of exports of goods, services and primary income)",..
Kyrgyz Republic,KGZ,"Total debt service (% of exports of goods, services and primary income)",12.3972445
Lao PDR,LAO,"Total debt service (% of exports of goods, services and primary income)",9.730037865
Latin America & Caribbean (all income levels),LCN,"Total debt service (% of exports of goods, services and primary income)",..
Latin America & Caribbean (developing only),LAC,"Total debt service (% of exports of goods, services and primary income)",16.46745372
Latvia,LVA,"Total debt service (% of exports of goods, services and primary income)",..
Least developed countries: UN classification,LDC,"Total debt service (% of exports of goods, services and primary income)",..
Lebanon,LBN,"Total debt service (% of exports of goods, services and primary income)",16.68881914
Lesotho,LSO,"Total debt service (% of exports of goods, services and primary income)",2.779067767
Liberia,LBR,"Total debt service (% of exports of goods, services and primary income)",0.682492657
Libya,LBY,"Total debt service (% of exports of goods, services and primary income)",..
Liechtenstein,LIE,"Total debt service (% of exports of goods, services and primary income)",..
Lithuania,LTU,"Total debt service (% of exports of goods, services and primary income)",..
Low & middle income,LMY,"Total debt service (% of exports of goods, services and primary income)",10.497386
Low income,LIC,"Total debt service (% of exports of goods, services and primary income)",5.793738097
Lower middle income,LMC,"Total debt service (% of exports of goods, services and primary income)",11.8176914
Luxembourg,LUX,"Total debt service (% of exports of goods, services and primary income)",..
"Macao SAR, China",MAC,"Total debt service (% of exports of goods, services and primary income)",..
"Macedonia, FYR",MKD,"Total debt service (% of exports of goods, services and primary income)",18.88555907
Madagascar,MDG,"Total debt service (% of exports of goods, services and primary income)",..
Malawi,MWI,"Total debt service (% of exports of goods, services and primary income)",..
Malaysia,MYS,"Total debt service (% of exports of goods, services and primary income)",3.503968041
Maldives,MDV,"Total debt service (% of exports of goods, services and primary income)",2.519096227
Mali,MLI,"Total debt service (% of exports of goods, services and primary income)",..
Malta,MLT,"Total debt service (% of exports of goods, services and primary income)",..
Marshall Islands,MHL,"Total debt service (% of exports of goods, services and primary income)",..
Mauritania,MRT,"Total debt service (% of exports of goods, services and primary income)",5.581494267
Mauritius,MUS,"Total debt service (% of exports of goods, services and primary income)",41.99638781
Mexico,MEX,"Total debt service (% of exports of goods, services and primary income)",10.28640002
"Micronesia, Fed. Sts.",FSM,"Total debt service (% of exports of goods, services and primary income)",..
Middle East & North Africa (all income levels),MEA,"Total debt service (% of exports of goods, services and primary income)",..
Middle East & North Africa (developing only),MNA,"Total debt service (% of exports of goods, services and primary income)",4.947244868
Middle income,MIC,"Total debt service (% of exports of goods, services and primary income)",10.59476736
Moldova,MDA,"Total debt service (% of exports of goods, services and primary income)",16.05473856
Monaco,MCO,"Total debt service (% of exports of goods, services and primary income)",..
Mongolia,MNG,"Total debt service (% of exports of goods, services and primary income)",27.87336714
Montenegro,MNE,"Total debt service (% of exports of goods, services and primary income)",17.22412423
Morocco,MAR,"Total debt service (% of exports of goods, services and primary income)",15.31425103
Mozambique,MOZ,"Total debt service (% of exports of goods, services and primary income)",2.621757798
Myanmar,MMR,"Total debt service (% of exports of goods, services and primary income)",8.181414373
Namibia,NAM,"Total debt service (% of exports of goods, services and primary income)",..
Nepal,NPL,"Total debt service (% of exports of goods, services and primary income)",8.713480935
Netherlands,NLD,"Total debt service (% of exports of goods, services and primary income)",..
New Caledonia,NCL,"Total debt service (% of exports of goods, services and primary income)",..
New Zealand,NZL,"Total debt service (% of exports of goods, services and primary income)",..
Nicaragua,NIC,"Total debt service (% of exports of goods, services and primary income)",12.64644976
Niger,NER,"Total debt service (% of exports of goods, services and primary income)",..
Nigeria,NGA,"Total debt service (% of exports of goods, services and primary income)",0.494004602
North America,NAC,"Total debt service (% of exports of goods, services and primary income)",..
Northern Mariana Islands,MNP,"Total debt service (% of exports of goods, services and primary income)",..
Norway,NOR,"Total debt service (% of exports of goods, services and primary income)",..
Not classified,INX,"Total debt service (% of exports of goods, services and primary income)",..
OECD members,OED,"Total debt service (% of exports of goods, services and primary income)",..
Oman,OMN,"Total debt service (% of exports of goods, services and primary income)",..
Other small states,OSS,"Total debt service (% of exports of goods, services and primary income)",..
Pacific island small states,PSS,"Total debt service (% of exports of goods, services and primary income)",..
Pakistan,PAK,"Total debt service (% of exports of goods, services and primary income)",26.27284684
Palau,PLW,"Total debt service (% of exports of goods, services and primary income)",..
Panama,PAN,"Total debt service (% of exports of goods, services and primary income)",5.691692587
Papua New Guinea,PNG,"Total debt service (% of exports of goods, services and primary income)",..
Paraguay,PRY,"Total debt service (% of exports of goods, services and primary income)",12.94813771
Peru,PER,"Total debt service (% of exports of goods, services and primary income)",14.01516187
Philippines,PHL,"Total debt service (% of exports of goods, services and primary income)",7.7487923
Poland,POL,"Total debt service (% of exports of goods, services and primary income)",..
Portugal,PRT,"Total debt service (% of exports of goods, services and primary income)",..
Puerto Rico,PRI,"Total debt service (% of exports of goods, services and primary income)",..
Qatar,QAT,"Total debt service (% of exports of goods, services and primary income)",..
Romania,ROM,"Total debt service (% of exports of goods, services and primary income)",39.67657054
Russian Federation,RUS,"Total debt service (% of exports of goods, services and primary income)",..
Rwanda,RWA,"Total debt service (% of exports of goods, services and primary income)",3.494497324
Samoa,WSM,"Total debt service (% of exports of goods, services and primary income)",6.104221906
San Marino,SMR,"Total debt service (% of exports of goods, services and primary income)",..
Sao Tome and Principe,STP,"Total debt service (% of exports of goods, services and primary income)",11.01480278
Saudi Arabia,SAU,"Total debt service (% of exports of goods, services and primary income)",..
Senegal,SEN,"Total debt service (% of exports of goods, services and primary income)",..
Serbia,SRB,"Total debt service (% of exports of goods, services and primary income)",43.6259524
